trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",25,-2,-128.31791254890712,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 2}",0
72,False,"{'a': 0.01, 'e': 0.7518057291408949}",20,-24,-112.17306353215338,"{0: 30, 1: 6, 2: 5, 3: 2, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,-7,-116.48123943292758,"{0: 17, 1: 7, 2: 7, 3: 0, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,0,-26.590783779177062,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,-5,-96.67865900762756,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,7,-50.493239637425305,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",25,4,-121.91161707911216,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 2}",1
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",30,-28,-239.45758102390934,"{0: 40, 1: 4, 2: 8, 3: 2, 4: 4}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",20,1,-31.714647996014087,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",20,-17,-129.02440930503636,"{0: 25, 1: 4, 2: 5, 3: 1, 4: 2}",0
81,False,"{'a': 0.01, 'e': 0.689498432951747}",20,1,-46.05843916305738,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",35,-17,-132.49422593221755,"{0: 36, 1: 4, 2: 9, 3: 2, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.674875760071267}",20,-14,-109.04673238810261,"{0: 24, 1: 2, 2: 6, 3: 0, 4: 2}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",20,4,-96.25905591426479,"{0: 8, 1: 2, 2: 4, 3: 1, 4: 1}",1
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,10,-10.041690955249324,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,15,9.244204608241926,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,-4,-80.51584480447835,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 2}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,8,-9.997324139740094,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",30,-4,-120.21376977641314,"{0: 24, 1: 2, 2: 5, 3: 1, 4: 2}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",25,0,-31.96768193799411,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",25,-41,-263.63876306046166,"{0: 43, 1: 5, 2: 14, 3: 0, 4: 4}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",25,-4,-50.59635989246371,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 1}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,14,-41.03661159681536,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",30,10,-68.0858761075981,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,-15,-49.13288984096369,"{0: 31, 1: 2, 2: 5, 3: 2, 4: 0}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,15,-38.42091033988736,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,-14,22.00730311112403,"{0: 30, 1: 2, 2: 2, 3: 0, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",25,18,-12.348317257713731,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",20,8,-13.662653771943596,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681397}",20,8,13.070185410449419,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,-4,-47.231839056624054,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 1}",0
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",20,8,-58.11388626753001,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",30,6,-70.0033810609758,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",30,9,-68.35525834365322,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 2}",1
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",20,11,-21.840057470902714,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",25,9,-63.24218195463622,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",30,10,-56.268537572433,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,17,-25.852479051366863,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,8,8.464665622776534,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",30,8,-80.62452277657474,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 2}",1
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",30,16,-12.547201741633991,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",20,-12,-58.2651108394667,"{0: 23, 1: 4, 2: 4, 3: 0, 4: 1}",0
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,10,16.625948006574497,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,3,12.3245116769658,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,5,23.03630618994665,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",30,21,-19.396662745042892,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",35,21,22.638145810438367,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",20,13,-2.5733134619836235,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",25,6,-87.65632525601148,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 2}",1
